label,value,precision,recall,f1-score,support,accuracy
related,0,0.6342592592592593,0.5564581640942323,0.5928169623539593,1231,0.8192122958693564
related,1,0.8676363636363637,0.900603925515853,0.8838128163970861,3974,0.8192122958693564
request,0,0.918794014084507,0.9639806049411221,0.9408450704225352,4331,0.899135446685879
request,1,0.7639939485627837,0.5778032036613272,0.6579804560260587,874,0.899135446685879
offer,0,0.9957732949087416,1.0,0.9978821717366191,5183,0.9957732949087416
offer,1,0.0,0.0,0.0,22,0.9957732949087416
aid_related,0,0.7820273631840796,0.8173545661358466,0.7993008104242809,3077,0.7573487031700288
aid_related,1,0.7174459527400704,0.6705827067669173,0.6932232207918387,2128,0.7573487031700288
medical_help,0,0.9446435682994823,0.9862785862785863,0.9650122050447518,4810,0.933909702209414
medical_help,1,0.639344262295082,0.29620253164556964,0.4048442906574395,395,0.933909702209414
medical_products,0,0.964075382803298,0.9913201453371013,0.9775079617834396,4954,0.9565802113352546
medical_products,1,0.6126126126126126,0.27091633466135456,0.3756906077348066,251,0.9565802113352546
search_and_rescue,0,0.9760340162350213,0.9968416896960126,0.9863281250000001,5066,0.9731027857829011
search_and_rescue,1,0.4838709677419355,0.1079136690647482,0.1764705882352941,139,0.9731027857829011
security,0,0.9824797843665768,0.9990211433046202,0.9906814210832848,5108,0.9815561959654179
security,1,0.5454545454545454,0.061855670103092786,0.1111111111111111,97,0.9815561959654179
military,0,0.9786232594626397,0.991259435836313,0.9849008191058916,5034,0.9706051873198848
military,1,0.5849056603773585,0.36257309941520466,0.44765342960288806,171,0.9706051873198848
water,0,0.9754812563323202,0.9842567982007769,0.979849379198046,4891,0.9619596541786744
water,1,0.7148148148148148,0.6146496815286624,0.660958904109589,314,0.9619596541786744
food,0,0.9649271075427847,0.9813064030941125,0.9730478321082348,4654,0.9513928914505283
food,1,0.815677966101695,0.6987295825771325,0.7526881720430108,551,0.9513928914505283
shelter,0,0.9631071940971511,0.9834658853076601,0.9731800766283526,4778,0.950240153698367
shelter,1,0.7576687116564417,0.5784543325526932,0.6560424966799469,427,0.950240153698367
clothing,0,0.9924330616996507,0.9970760233918129,0.9947491248541424,5130,0.9896253602305476
clothing,1,0.7058823529411765,0.48,0.5714285714285713,75,0.9896253602305476
money,0,0.9802287264973832,0.9960606657474886,0.9880812817506839,5077,0.9765609990393852
money,1,0.5652173913043478,0.203125,0.2988505747126437,128,0.9765609990393852
missing_people,0,0.9884504331087585,0.9998052959501558,0.9940954409060111,5136,0.9882804995196927
missing_people,1,0.9,0.13043478260869565,0.22784810126582278,69,0.9882804995196927
refugees,0,0.9785407725321889,0.9944488501189532,0.9864306784660768,5044,0.9734870317002882
refugees,1,0.6455696202531646,0.3167701863354037,0.42500000000000004,161,0.9734870317002882
death,0,0.9771825396825397,0.9913446054750402,0.9842126298960832,4968,0.9696445725264169
death,1,0.7393939393939394,0.5147679324894515,0.6069651741293532,237,0.9696445725264169
other_aid,0,0.882995951417004,0.9652578003983182,0.9222962258166826,4519,0.8587896253602305
other_aid,1,0.4075471698113208,0.15743440233236153,0.22712933753943224,686,0.8587896253602305
infrastructure_related,0,0.9360997467368011,0.9905174190888476,0.9625400641025641,4851,0.9281460134486071
infrastructure_related,1,0.3611111111111111,0.07344632768361582,0.12206572769953052,354,0.9281460134486071
transport,0,0.9643135725429017,0.9935704239501708,0.9787234042553191,4977,0.9586935638808838
transport,1,0.5844155844155844,0.19736842105263158,0.2950819672131148,228,0.9586935638808838
buildings,0,0.9701285855588526,0.9901070058550373,0.9800159872102319,4953,0.9615754082612872
buildings,1,0.6733333333333333,0.4007936507936508,0.5024875621890548,252,0.9615754082612872
electricity,0,0.9860275567630506,0.9947141738449491,0.9903518175616411,5108,0.9809798270893372
electricity,1,0.4807692307692308,0.25773195876288657,0.3355704697986577,97,0.9809798270893372
tools,0,0.994043043812452,1.0,0.997012624072468,5173,0.9940441882804996
tools,1,1.0,0.03125,0.06060606060606061,32,0.9940441882804996
hospitals,0,0.9899980765531833,0.9994174757281553,0.9946854768576674,5150,0.989433237271854
hospitals,1,0.5,0.05454545454545454,0.09836065573770492,55,0.989433237271854
shops,0,0.9951969260326609,1.0,0.9975926817525277,5180,0.9951969260326609
shops,1,0.0,0.0,0.0,25,0.9951969260326609
aid_centers,0,0.9884637569698135,0.9992225461613217,0.9938140344094336,5145,0.987704130643612
aid_centers,1,0.0,0.0,0.0,60,0.987704130643612
other_infrastructure,0,0.9549148606811145,0.9947591211449305,0.9744298548721493,4961,0.950240153698367
other_infrastructure,1,0.2972972972972973,0.045081967213114756,0.07829181494661921,244,0.950240153698367
weather_related,0,0.8871131405377981,0.9413189771197846,0.9134125636672327,3715,0.8726224783861671
weather_related,1,0.8273950910530483,0.7013422818791947,0.7591718125681076,1490,0.8726224783861671
floods,0,0.9606171335769387,0.990787269681742,0.9754689754689754,4776,0.9542747358309318
floods,1,0.8422939068100358,0.5477855477855478,0.6638418079096046,429,0.9542747358309318
storm,0,0.957020655122053,0.9782469609724888,0.9675174013921114,4689,0.9408261287223824
storm,1,0.7524271844660194,0.6007751937984496,0.668103448275862,516,0.9408261287223824
fire,0,0.9926739926739927,0.9992237531535029,0.9959381044487429,5153,0.9919308357348703
fire,1,0.7777777777777778,0.2692307692307692,0.39999999999999997,52,0.9919308357348703
earthquake,0,0.9697597348798674,0.9925800296798812,0.9810371922472498,4717,0.9652257444764649
earthquake,1,0.9071618037135278,0.7008196721311475,0.7907514450867051,488,0.9652257444764649
cold,0,0.9859867652783184,0.9958718301552978,0.9909046454767726,5087,0.9821325648414986
cold,1,0.6865671641791045,0.3898305084745763,0.49729729729729727,118,0.9821325648414986
other_weather,0,0.9561128526645768,0.9902597402597403,0.9728867623604466,4928,0.9477425552353507
other_weather,1,0.5247524752475248,0.19133574007220217,0.2804232804232804,277,0.9477425552353507
